Estrutura,Volume,Insercao(ns),Busca(ns),Remocao(ns)
AVL,1000,238600,77800,74700
RBT,1000,1013900,399500,178500
AVL,5000,720300,454800,549000
RBT,5000,640000,405300,588400
AVL,10000,2040700,977800,410000
RBT,10000,1272400,871900,333800
AVL,25000,5410800,2719400,1089800
RBT,25000,3196400,2380900,1127100
AVL,50000,8670000,4840000,1824400
RBT,50000,7092500,5536200,2411600
AVL,75000,15322800,8304300,2878100
RBT,75000,10426200,10110600,2455800
AVL,100000,18259800,10516600,3979500
RBT,100000,11396000,10425900,3653100
